"","time","X_RIGHT_INDEX","Y_RIGHT_INDEX","Z_RIGHT_INDEX","env","speed","vertical_velocity","acceleration","jerk","gesture_ID","gesture_type"
"16636",128240,-0.149331898403055,-0.176644456164672,-0.230679566647547,0.0006488107,0.107045136664746,7.10768115508e-05,-0.00952025663594198,-0.0020045907736029,NA,NA
"16637",128250,-0.149433196948399,-0.176746749335595,-0.231586865090196,0.0006197259,0.090642335247081,-4.1161419075185e-05,-0.0141741744496009,-0.0028701264841057,NA,NA
"16638",128260,-0.149566610888043,-0.176902047292848,-0.232304281855342,0.0005887309,0.0718660583014631,-0.000100682301634698,-0.0167958610608526,-0.00187055827850661,NA,NA
"16640",128270,-0.149706524836839,-0.177040389955966,-0.232763604756857,0.0005540219,0.0518338927389108,-0.000108130647796782,-0.0170316927023916,5.85464954470378e-05,NA,NA
"16641",128280,-0.149844403402326,-0.177136148062692,-0.232954532776652,0.0005160915,0.0343853756425999,-8.21904451091789e-05,-0.014405388190429,0.00223353861408352,NA,NA
"16642",128290,-0.149978810180364,-0.177189103574924,-0.2330152064368,0.0004767954,0.0243206280363671,-3.72966516043735e-05,-0.00919394755259454,0.00395476629798425,NA,NA
"16644",128300,-0.150107420755927,-0.177173059581429,-0.233111028300773,0.0004394671,0.0228130631523871,2.03743423479007e-05,-0.00317257824226812,0.00453585641799025,NA,NA
"16645",128310,-0.150228576359594,-0.177064627070032,-0.233321716663953,0.0004068159,0.0271732410276541,7.59177215769677e-05,0.00145649224509789,0.0038055742033915,NA,NA
"16646",128320,-0.15034775269011,-0.176910006252193,-0.233618135440366,0.000380757,0.0328853534192781,0.000102055892965136,0.00359631568952008,0.00230489921824801,NA,NA
"16647",128330,-0.150476444729222,-0.176790200300159,-0.233956411046612,0.000361941,0.037131132729963,8.2870158588979e-05,0.00375674364948117,0.00085698018610845,NA,NA
"16649",128340,-0.150625214012481,-0.176759568244041,-0.23432965348581,0.0003496053,0.0401449850053179,3.09391987483833e-05,0.00314905394041055,-3.86879865183784e-05,NA,NA
"16650",128350,-0.150797081958408,-0.176808855745089,-0.234725705008227,0.0003417064,0.0426008953775763,-2.38060032091098e-05,0.00249466509247421,-0.000389238494041465,NA,NA
"16651",128360,-0.150998907824833,-0.176889952723115,-0.235120950081389,0.0003365252,0.0443853088106788,-5.96806124136804e-05,0.0019344519056091,-0.000417286120326605,NA,NA
"16653",128370,-0.151251301609379,-0.176969379867714,-0.235491758126798,0.0003325929,0.0455755898451993,-7.72561052192291e-05,0.0015575552267274,-0.000276121090970236,NA,NA
"16654",128380,-0.151561287109427,-0.177042325703249,-0.235828137317525,0.000328004,0.0466819607021646,-9.34736389922464e-05,0.00151688868314025,-4.72271831853321e-05,NA,NA
"16655",128390,-0.151911025291703,-0.177133650484657,-0.236131698560809,0.0003223487,0.0482548044011651,-0.000129766267779657,0.0018590235191951,0.000156134505809541,NA,NA
"16657",128400,-0.152296177900745,-0.17730949780992,-0.236381979307563,0.0003174926,0.0509180476120851,-0.000196783743549256,0.00238377470524373,0.00016880657265348,NA,NA
"16658",128410,-0.152722139941446,-0.177615322202988,-0.236558592906622,0.0003136241,0.0545525727330079,-0.000277228041736814,0.00255831114499612,-0.000130932771535635,NA,NA
"16659",128420,-0.153171667601302,-0.17800040310899,-0.23668744151637,0.0003103616,0.0574102511949446,-0.000335348208649251,0.00183632907809395,-0.000667562364008566,NA,NA
"16660",128430,-0.153620631152352,-0.178385944747231,-0.236802239261265,0.0003075551,0.0577684646156626,-0.000351342937643844,0.000285836591186458,-0.00115170979579985,NA,NA
"16662",128440,-0.154055804474069,-0.178731201992634,-0.236915094719439,0.0003059455,0.055759121415747,-0.00033365776964719,-0.0014124256651524,-0.00131522559501819,NA,NA
"16663",128450,-0.154473856296346,-0.17903243777815,-0.237030647816751,0.0003056931,0.0525498478374276,-0.000301013545031299,-0.00268287854284527,-0.00114332022809821,NA,NA
"16664",128460,-0.154870830335101,-0.179298979256827,-0.237153526680739,0.0003062505,0.048825332026569,-0.000264787031436927,-0.00345509449354859,-0.000817793672541943,NA,NA
"16666",128470,-0.155233152851798,-0.179525331099704,-0.23729094740963,0.0003067195,0.0447074302308379,-0.000228026666013376,-0.00389214822519089,-0.000499012298850986,NA,NA
